Sigla;Código;Estado;2010;
AC;12;Acre;733559;
AL;27;Alagoas;3120494;
AM;13;Amazonas;3483985;
AP;16;Amapá;669526;
BA;29;Bahia;14016906;
CE;23;Ceará;8452381;
DF;53;Distrito Federal;2570160;
ES;32;Espírito Santo;3514952;
GO;52;Goiás;6003788;
MA;21;Maranhão;6574789;
MG;31;Minas Gerais;19597330;
MS;50;Mato Grosso do Sul;2449024;
MT;51;Mato Grosso;3035122;
PA;15;Pará;7581051;
PB;25;Paraíba;3766528;
PE;26;Pernambuco;8796448;
PI;22;Piauí;3118360;
PR;41;Paraná;10444526;
RJ;33;Rio de Janeiro;15989929;
RN;24;Rio Grande do Norte;3168027;
RO;11;Rondônia;1562409;
RR;14;Roraima;450479;
RS;43;Rio Grande do Sul;10693929;
SC;42;Santa Catarina;6248436;
SE;28;Sergipe;2068017;
SP;35;São Paulo;41262199;
TO;17;Tocantins;1383445;
